Id,UPC/SKU,Name,Description,Type,Price,Cost,MSRP,OnHand,Location,MinQty,Taxable1,Taxable2,GroupAtSale,Active,Categories,Favorites,Notes,NotesType
"348","","Pantene shampoo smooth&sleek 400ml x6","","S",13.5,11.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"349","","Pantene shampoo classic care 400ml x6","","S",13.5,11.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"350","","Pantene shampoo volume & body 400ml x6","","S",13.5,11.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"351","","H&S conditioner classic clean 200ml x6","","S",9,7.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"352","","H&S shampoo classic clean 2 in 1 500ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"353","","H&S shampoo classic clean 500ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"354","","H&S shampoo cool menthol 500ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"355","","H&S shampoo hair endurance 500ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"356","","H&S shampoo classic clean 2 in 1, 200ml x6","","S",9,7.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"357","","H&S shampoo citrus 200ml x6","","S",9,7.5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"358","","H&S shampoo classic clean 2 in1'400ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"359","","H&S shampoo total care 3 in 1'400ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"360","","H&S shampoo citrus 400ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"361","","H&S shampoo classic clean 400ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"362","","H&S shampoo smooth&silky 400ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"363","","H&S shampoo cool menthol 400ml x6","","S",15,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"364","","Gentelle hair gel extra firm hold 250ml x12","","S",6,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"365","","Gentelle hair gel firm hold 250ml x12","","S",6,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"366","","Gentelle hair gel wet look 250ml x12","","S",6,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"367","","Nail polish remover 250ml x12","","S",9,7,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"368","","Bristows hairspray ultra hold 300ml x6","","S",6.5,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"369","","Harmony hairspray extra firm 225ml x6","","S",6.5,5,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"370","","Insette air freshener jasmine 330ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"371","","Insette air freshener lavender 330ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"372","","Insette air freshener summer rose 330ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"373","","Afton air freshener lavender therapy 240ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"374","","Afton air freshener fabulous fruits 240ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"375","","Afton linen fresh 240ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"376","","Afton air freshener citrus choice 240ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"377","","Afton air freshener mountain spring 240ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"378","","Afton air freshener oriental breeze 240ml x12","","S",7,0,0,0,"",0,N,N,N,Y,"Medical+spray+shampoo",,"",S
"379","","Colgate triple action 12x100ml","","S",11,8,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"380","","Colgate £1pm 12x75ml","","S",8.5,6.3,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"381","","Colgate herbal 100ml x12","","S",9,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"382","","Colgate total clean mint original 100ml 100ml x12","","S",12,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"383","","Colgate total professional whitening 100ml x12","","S",12,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
"384","","Colgate total professional clean 100ml x12","","S",12,0,0,0,"",0,N,N,N,Y,"Diş Macun+fırça",,"",S
